time1,neg_value,neu_value,pos_value
2018-09-01,36,0,57
2018-09-02,27,0,19
2018-09-03,95,1,136
2018-09-04,107,2,167
2018-09-05,97,3,168
2018-09-06,103,1,154
2018-09-07,125,2,172
2018-09-08,43,1,75
2018-09-09,18,1,28
2018-09-10,104,2,146
2018-09-11,97,3,177
2018-09-12,104,0,112
2018-09-13,98,5,144
2018-09-14,101,4,153
2018-09-15,47,2,76
2018-09-16,17,1,26
2018-09-17,129,9,177
2018-09-18,107,4,167
2018-09-19,68,3,183
2018-09-20,93,2,134
2018-09-21,81,5,160
2018-09-22,34,3,62
2018-09-23,21,0,21
2018-09-24,47,1,35
2018-09-25,114,5,143
2018-09-26,91,5,171
2018-09-27,121,3,189
2018-09-28,92,1,167
2018-09-29,55,4,101
2018-09-30,31,3,48
2018-10-01,26,2,39
2018-10-02,19,0,46
2018-10-03,17,2,44
2018-10-04,21,0,28
2018-10-05,44,2,55
2018-10-06,18,1,34
2018-10-07,23,1,23
2018-10-08,83,4,129
2018-10-09,102,2,165
2018-10-10,99,4,198
2018-10-11,174,4,159
2018-10-12,137,1,137
2018-10-13,48,2,43
2018-10-14,24,0,31
2018-10-15,118,4,124
2018-10-16,133,6,177
2018-10-17,104,3,132
2018-10-18,116,3,165
2018-10-19,120,3,156
2018-10-20,28,0,62
2018-10-21,26,4,55
2018-10-22,103,4,165
2018-10-23,97,3,179
2018-10-24,98,3,161
2018-10-25,133,2,148
2018-10-26,119,2,192
2018-10-27,47,0,66
2018-10-28,30,0,39
2018-10-29,102,7,143
2018-10-30,117,1,177
2018-10-31,121,3,195
2018-11-01,106,2,282
2018-11-02,166,3,383
2018-11-03,34,1,49
2018-11-04,28,1,48
2018-11-05,129,8,356
2018-11-06,126,3,380
2018-11-07,143,4,374
2018-11-08,151,4,377
2018-11-09,161,4,413
2018-11-10,38,1,71
2018-11-11,17,0,34
2018-11-12,121,6,367
2018-11-13,152,4,360
2018-11-14,167,5,362
2018-11-15,148,2,344
2018-11-16,156,4,368
2018-11-17,30,1,44
2018-11-18,21,0,23
2018-11-19,151,4,318
2018-11-20,158,7,336
2018-11-21,146,3,341
2018-11-22,152,4,322
2018-11-23,113,2,315
2018-11-24,24,0,28
2018-11-25,13,0,16
2018-11-26,108,3,305
2018-11-27,133,5,301
2018-11-28,131,1,311
2018-11-29,102,1,292
2018-11-30,122,2,385
2018-12-01,20,1,41
2018-12-02,20,0,41
2018-12-03,90,2,335
2018-12-04,107,4,297
2018-12-05,111,0,290
2018-12-06,103,4,304
2018-12-07,117,3,338
2018-12-08,26,1,29
2018-12-09,10,0,18
2018-12-10,100,3,308
2018-12-11,88,5,287
2018-12-12,94,3,297
2018-12-13,96,5,300
2018-12-14,106,2,414
2018-12-15,15,0,34
2018-12-16,8,0,29
2018-12-17,107,6,280
2018-12-18,104,1,271
2018-12-19,95,6,269
2018-12-20,105,5,209
2018-12-21,117,3,344
2018-12-22,25,0,46
2018-12-23,12,0,19
2018-12-24,102,4,245
2018-12-25,109,3,112
2018-12-26,110,3,158
2018-12-27,122,2,327
2018-12-28,126,6,454
2018-12-29,76,2,84
2018-12-30,11,0,24
2018-12-31,21,0,258
2019-01-01,29,0,35
2019-01-02,96,4,318
2019-01-03,109,1,310
2019-01-04,138,3,275
2019-01-05,22,1,25
2019-01-06,10,0,22
2019-01-07,104,3,319
2019-01-08,126,3,330
2019-01-09,88,2,306
2019-01-10,135,3,392
2019-01-11,136,5,379
2019-01-12,22,0,27
2019-01-13,7,1,28
2019-01-14,121,8,325
2019-01-15,113,2,341
2019-01-16,103,5,326
2019-01-17,109,1,298
2019-01-18,120,9,374
2019-01-19,34,0,34
2019-01-20,7,1,16
2019-01-21,116,3,338
2019-01-22,112,6,299
